"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 05, 2013","13,910.0","13,838.0","13,958.0","13,834.0","113.76K","0.47%"
"Feb 06, 2013","13,928.0","13,935.0","13,955.0","13,852.0","115.32K","0.13%"
"Feb 07, 2013","13,898.0","13,932.0","13,958.0","13,802.0","140.87K","-0.22%"
"Feb 08, 2013","13,926.0","13,898.0","13,975.0","13,883.0","101.05K","0.20%"
"Feb 11, 2013","13,924.0","13,938.0","13,963.0","13,891.0","84.68K","-0.01%"
"Feb 12, 2013","13,973.0","13,922.0","13,992.0","13,888.0","85.83K","0.35%"
"Feb 13, 2013","13,958.0","13,984.0","14,006.0","13,918.0","87.78K","-0.11%"
"Feb 14, 2013","13,950.0","13,955.0","13,967.0","13,882.0","97.05K","-0.06%"
"Feb 15, 2013","13,948.0","13,952.0","13,977.0","13,879.0","108.79K","-0.01%"
"Feb 18, 2013","13,947.0","13,948.0","13,962.0","13,939.0","-","-0.01%"
"Feb 19, 2013","14,007.0","13,937.0","14,023.0","13,933.0","102.02K","0.43%"
"Feb 20, 2013","13,889.0","14,007.0","14,035.0","13,883.0","134.97K","-0.84%"
"Feb 21, 2013","13,872.0","13,895.0","13,910.0","13,811.0","182.61K","-0.12%"
"Feb 22, 2013","13,981.0","13,876.0","13,995.0","13,876.0","136.27K","0.79%"
"Feb 25, 2013","13,788.0","13,985.0","14,064.0","13,746.0","222.41K","-1.38%"
"Feb 26, 2013","13,859.0","13,773.0","13,900.0","13,770.0","233.53K","0.51%"
"Feb 27, 2013","14,060.0","13,870.0","14,091.0","13,846.0","183.26K","1.45%"
"Feb 28, 2013","14,038.0","14,062.0","14,133.0","14,012.0","151.40K","-0.16%"
"Mar 01, 2013","14,074.0","14,043.0","14,093.0","13,919.0","197.21K","0.26%"
"Mar 04, 2013","14,116.0","14,058.0","14,133.0","14,003.0","141.01K","0.30%"
"Mar 05, 2013","14,233.0","14,127.0","14,270.0","14,113.0","150.61K","0.83%"
"Mar 06, 2013","14,265.0","14,247.0","14,309.0","14,234.0","130.15K","0.22%"
"Mar 07, 2013","14,316.0","14,276.0","14,340.0","14,260.0","104.52K","0.36%"
"Mar 08, 2013","14,373.0","14,320.0","14,427.0","14,302.0","92.52K","0.40%"
"Mar 11, 2013","14,444.0","14,366.0","14,448.0","14,352.0","39.28K","0.49%"
"Mar 12, 2013","14,450.0","14,440.0","14,473.0","14,406.0","31.94K","0.04%"
"Mar 13, 2013","14,462.0","14,450.0","14,472.0","14,409.0","21.28K","0.08%"
"Mar 14, 2013","14,523.0","14,462.0","14,540.0","14,453.0","25.13K","0.42%"
"Mar 15, 2013","14,493.8","14,522.0","14,553.0","14,519.0","3.44K","-0.20%"
"Mar 18, 2013","14,390.0","14,368.0","14,448.0","14,269.0","167.58K","-0.72%"
"Mar 19, 2013","14,388.0","14,389.0","14,443.0","14,308.0","210.33K","-0.01%"
"Mar 20, 2013","14,408.0","14,365.0","14,476.0","14,347.0","134.71K","0.14%"
"Mar 21, 2013","14,347.0","14,412.0","14,441.0","14,309.0","165.10K","-0.42%"
"Mar 22, 2013","14,459.0","14,347.0","14,471.0","14,325.0","138.87K","0.78%"
