Date	Dow_Jones
07-11-2017	23488
08-11-2017	23491
09-11-2017	23416
10-11-2017	23382
13-11-2017	23406
14-11-2017	23375
15-11-2017	23262
16-11-2017	23424
17-11-2017	23316
20-11-2017	23395
21-11-2017	23543
22-11-2017	23485
23-11-2017	23484.5
24-11-2017	23517
27-11-2017	23562
28-11-2017	23811
29-11-2017	23918
30-11-2017	24274
01-12-2017	24238
04-12-2017	24305
05-12-2017	24175
06-12-2017	24157
07-12-2017	24231
08-12-2017	24318
11-12-2017	24401
12-12-2017	24526
13-12-2017	24627
14-12-2017	24537
15-12-2017	24691
18-12-2017	24823
19-12-2017	24775
20-12-2017	24739
21-12-2017	24778
22-12-2017	24766
25-12-2017	24787
26-12-2017	24792
27-12-2017	24788
28-12-2017	24797
29-12-2017	24735
01-01-2018	24775
02-01-2018	24768
03-01-2018	24878
04-01-2018	25053
05-01-2018	25269
08-01-2018	25250
09-01-2018	25373
10-01-2018	25351
11-01-2018	25555
12-01-2018	25801
14-01-2018	25896
15-01-2018	25948
16-01-2018	25819
17-01-2018	26098
18-01-2018	25941
19-01-2018	26046
22-01-2018	26195
23-01-2018	26201
24-01-2018	26270
25-01-2018	26376
26-01-2018	26604
29-01-2018	26430
30-01-2018	26055
31-01-2018	26136
01-02-2018	26172
02-02-2018	25428
05-02-2018	23938
06-02-2018	24800
07-02-2018	24735
08-02-2018	23970
09-02-2018	24167
12-02-2018	24583
13-02-2018	24626
14-02-2018	24863
15-02-2018	25234
16-02-2018	25236
18-02-2018	25280
19-02-2018	25196
20-02-2018	24948
21-02-2018	24782
22-02-2018	25013
23-02-2018	25314
26-02-2018	25758
27-02-2018	25429
28-02-2018	25038
01-03-2018	24620
02-03-2018	24535
05-03-2018	24864
06-03-2018	24852
07-03-2018	24795
08-03-2018	24892
09-03-2018	25335
12-03-2018	25208
13-03-2018	25027
14-03-2018	24770
15-03-2018	24907
16-03-2018	24879.2
19-03-2018	24691
20-03-2018	24765
21-03-2018	24727
22-03-2018	23963
23-03-2018	23612
26-03-2018	24191
27-03-2018	23859
28-03-2018	23860
29-03-2018	24147
02-04-2018	23552
03-04-2018	23984
04-04-2018	24265
05-04-2018	24468
06-04-2018	23926
09-04-2018	24012
10-04-2018	24351
11-04-2018	24167
12-04-2018	24459
13-04-2018	24336
16-04-2018	24563
17-04-2018	24707
18-04-2018	24733
19-04-2018	24637
20-04-2018	24433
23-04-2018	24414
24-04-2018	23984
25-04-2018	24078
26-04-2018	24316
27-04-2018	24283
30-04-2018	24131
01-05-2018	24071
02-05-2018	23825
03-05-2018	23910
04-05-2018	24228
07-05-2018	24301
08-05-2018	24307
09-05-2018	24502
10-05-2018	24692
11-05-2018	24823
14-05-2018	24886
15-05-2018	24660
16-05-2018	24740
17-05-2018	24704
18-05-2018	24721
21-05-2018	25002
22-05-2018	24845
23-05-2018	24859
24-05-2018	24803
25-05-2018	24730
27-05-2018	24828
28-05-2018	24766
29-05-2018	24377
30-05-2018	24669
31-05-2018	24417
01-06-2018	24629
04-06-2018	24796
05-06-2018	24822
06-06-2018	25140
07-06-2018	25268
08-06-2018	25307
11-06-2018	25329
12-06-2018	25296
13-06-2018	25184
14-06-2018	25185
15-06-2018	25092
18-06-2018	25016
19-06-2018	24715
20-06-2018	24670
21-06-2018	24472
22-06-2018	24599
25-06-2018	24279
26-06-2018	24303
27-06-2018	24135
28-06-2018	24220
29-06-2018	24265
02-07-2018	24286
03-07-2018	24163
04-07-2018	24195
05-07-2018	24343
06-07-2018	24456
09-07-2018	24774
10-07-2018	24927
11-07-2018	24689
12-07-2018	24894
13-07-2018	25004
16-07-2018	25041
17-07-2018	25106
18-07-2018	25161
19-07-2018	25059
20-07-2018	25030
23-07-2018	25033
24-07-2018	25214
25-07-2018	25403
26-07-2018	25525
27-07-2018	25414
30-07-2018	25285
31-07-2018	25395
01-08-2018	25289
02-08-2018	25305
03-08-2018	25410
06-08-2018	25468
07-08-2018	25600
08-08-2018	25536
09-08-2018	25493
10-08-2018	25331
13-08-2018	25215
14-08-2018	25294
15-08-2018	25187
16-08-2018	25592
17-08-2018	25674
20-08-2018	25758
21-08-2018	25807
22-08-2018	25717
23-08-2018	25671
24-08-2018	25792
27-08-2018	26077
28-08-2018	26085
29-08-2018	26147
30-08-2018	26010
31-08-2018	25988
02-09-2018	26012
03-09-2018	26012
04-09-2018	25985
05-09-2018	25973
06-09-2018	26025
07-09-2018	25959
10-09-2018	25905
11-09-2018	26002
12-09-2018	26014
13-09-2018	26160
14-09-2018	26158
17-09-2018	26076
18-09-2018	26274
19-09-2018	26434
20-09-2018	26696
21-09-2018	26772
24-09-2018	26610
25-09-2018	26520
26-09-2018	26419
27-09-2018	26473
28-09-2018	26476
01-10-2018	26678
02-10-2018	26807
03-10-2018	26872
04-10-2018	26652
05-10-2018	26492
08-10-2018	26544
09-10-2018	26481
10-10-2018	25519
11-10-2018	25185
12-10-2018	25316
15-10-2018	25201
16-10-2018	25782
17-10-2018	25736
18-10-2018	25381
19-10-2018	25428
22-10-2018	25294
23-10-2018	25244
24-10-2018	24616
25-10-2018	24877
26-10-2018	24746
29-10-2018	24431
30-10-2018	24859
31-10-2018	25077
01-11-2018	25325
02-11-2018	25241
05-11-2018	25441
06-11-2018	25641
07-11-2018	26182
08-11-2018	26200
