Date	Dow_Jones	P/E	P/B	Div Yield	Symbol	Expiry	Close	Open Interest	Change in OI	SMA	EMA	upper_band	middle_band	lower_band	PercentageChange	Vix
22-08-2019	26225	26.57	3.34	1.38	NIFTY	29-08-2019	10732.1	18966525	47400	11449.51	10911.31623	11335.49623	11051.965	10768.43377	-1.834413431	17.8525
23-08-2019	25670	26.79	3.36	1.36	NIFTY	29-08-2019	10842.7	18111300	-861450	11428.03	10888.44415	11307.79768	11030.21	10752.62232	1.0305532	17.3475
26-08-2019	25943	27.36	3.43	1.34	NIFTY	29-08-2019	11054.2	16997850	-1119600	11410.548	10943.6961	11280.14896	11020.5625	10760.97604	1.950621155	16.655
27-08-2019	25744	27.47	3.45	1.33	NIFTY	29-08-2019	11103.9	15116550	-1887825	11395.865	10997.0974	11231.88365	11009.4075	10786.93135	0.449602866	16.01
28-08-2019	26037	27.33	3.43	1.34	NIFTY	29-08-2019	11049.25	13695000	-1427925	11382.899	11014.4816	11203.80064	11001.1175	10798.43436	-0.492169418	16.835
29-08-2019	26378	27.09	3.4	1.35	NIFTY	29-08-2019	10944.7	8193750	-5472300	11367.783	10991.22107	11192.89187	10993.5925	10794.29313	-0.946218069	16.425
30-08-2019	26406	27.27	3.35	1.39	NIFTY	26-09-2019	11058.9	17425425	-81225	11354.789	11013.78071	11181.4402	10989.9275	10798.4148	1.043427412	16.2825
01-09-2019	26276															
02-09-2019	26198															
03-09-2019	26122	26.54	3.28	1.42	NIFTY	26-09-2019	10836.4	17812800	387375	11334.528	10954.65381	11183.32071	10980.98	10778.63929	-2.011954173	18.055
04-09-2019	26372	26.61	3.29	1.42	NIFTY	26-09-2019	10886.3	17217000	-595800	11317.185	10931.8692	11179.45527	10974.0925	10768.72973	0.460485032	17.235
05-09-2019	26701	26.67	3.29	1.41	NIFTY	26-09-2019	10881.6	17515350	298350	11300.474	10915.1128	11179.94252	10973.3325	10766.72248	-0.04317353	17.2725
06-09-2019	26808	26.91	3.32	1.4	NIFTY	26-09-2019	10973.65	17163150	-352200	11283.741	10934.6252	11179.67828	10973.0825	10766.48672	0.845923394	16.275
09-09-2019	26840	27.05	3.34	1.39	NIFTY	26-09-2019	11025.25	16822050	-341100	11266.958	10964.83347	11183.22698	10980.6325	10778.03802	0.470217293	15.8525
10-09-2019	26894															
11-09-2019	27144	27.13	3.35	1.39	NIFTY	26-09-2019	11060.8	16831425	9375	11251.298	10996.82231	11182.81489	10980.475	10778.13511	0.322441668	15.3725
12-09-2019	27198	27	3.34	1.4	NIFTY	26-09-2019	10996.45	17155575	324150	11234.397	10996.69821	11165.91189	10974.15	10782.38811	-0.581784319	14.9
13-09-2019	27218	27.23	3.36	1.39	NIFTY	26-09-2019	11105.55	16778250	-377325	11218.435	11032.98214	11181.71514	10983.17	10784.62486	0.992138372	14.12
16-09-2019	27084	27.06	3.34	1.39	NIFTY	26-09-2019	11017.2	17547675	769425	11199.932	11027.72143	11180.72838	10982.6225	10784.51662	-0.795548172	14.9525
17-09-2019	27114	26.6	3.29	1.42	NIFTY	26-09-2019	10833.5	17860275	312600	11177.618	10962.98095	11175.54835	10971.065	10766.58165	-1.667392804	16.0175
18-09-2019	27148	26.66	3.29	1.42	NIFTY	26-09-2019	10855.45	17270100	-590175	11155.134	10927.1373	11167.23596	10960.9325	10754.62904	0.202612268	15.3525
19-09-2019	27086	26.32	3.25	1.43	NIFTY	26-09-2019	10711.3	17740275	470175	11132.941	10855.19153	11175.56696	10945.0925	10714.61804	-1.327904417	15.55
20-09-2019	27140.9	27.72	3.42	1.36	NIFTY	26-09-2019	11295.5	17491050	-249225	11127.525	11001.96102	11239.51022	10963.235	10686.95978	5.454053196	15.4
23-09-2019	26963	28.52	3.52	1.32	NIFTY	26-09-2019	11607.3	16460400	-1030650	11128.619	11203.74068	11382.42477	11006.995	10631.56523	2.760391306	16.7925
24-09-2019	26818	28.49	3.52	1.32	NIFTY	26-09-2019	11613.85	13648575	-2811825	11131.051	11340.44379	11496.39263	11045.5525	10594.71237	0.056430005	16.7325
25-09-2019	26958	25.92	3.47	1.34	NIFTY	26-09-2019	11469.1	8761050	-4887525	11128.792	11383.32919	11553.53352	11066.2975	10579.06148	-1.246356721	16.17
26-09-2019	26892	26.22	3.51	1.33	NIFTY	26-09-2019	11569.95	5707125	-3053925	11129.304	11445.53613	11624.08788	11089.6	10555.11212	0.879319214	16.3425
27-09-2019	26796	26.52	3.55	1.3	NIFTY	31-10-2019	11579.5	14549175	-234600	11129.31	11490.19075	11691.03895	11116.1125	10541.18605	0.082541411	16.115
30-09-2019	26901	26.44	3.53	1.31	NIFTY	31-10-2019	11534.6	14695575	146400	11126.845	11504.99383	11742.44124	11145.6075	10548.77376	-0.387754221	15.8725
01-10-2019	26521	26.17	3.5	1.32	NIFTY	31-10-2019	11429.85	15478650	783075	11121.926	11479.94589	11772.01155	11164.155	10556.29845	-0.908137257	16.7575
02-10-2019	25985															
03-10-2019	26180	26.07	3.48	1.32	NIFTY	31-10-2019	11361.8	15838350	359700	11117.075	11440.56393	11784.61115	11190.425	10596.23885	-0.595370893	17.7025
04-10-2019	26525	25.75	3.44	1.34	NIFTY	31-10-2019	11215.15	15480225	-358125	11112.941	11365.42595	11784.44833	11206.8675	10629.28667	-1.290728582	17.58
07-10-2019	26439	25.64	3.43	1.35	NIFTY	31-10-2019	11162	15524850	44625	11108.976	11297.6173	11779.50741	11220.8875	10662.26759	-0.47391252	17.83
08-10-2019	26138															
09-10-2019	26305	26.13	3.49	1.32	NIFTY	31-10-2019	11347.7	14550675	-974175	11109.254	11314.31153	11788.81498	11239.59	10690.36502	1.663680344	17.155
10-10-2019	26484	25.95	3.47	1.33	NIFTY	31-10-2019	11254.25	14564775	14100	11108.783	11294.29102	11791.39019	11251.04	10710.68981	-0.823514897	17.2275
11-10-2019	26775	26.11	3.49	1.32	NIFTY	31-10-2019	11311.7	14756775	192000	11110.074	11300.09402	11797.29512	11263.585	10729.87488	0.510473821	17.14
14-10-2019	26746	26.2	3.5	1.32	NIFTY	31-10-2019	11336.3	14377650	-379125	11110.26	11312.16268	11800.65133	11280.5775	10760.50367	0.217473943	17.43
15-10-2019	27002	26.4	3.53	1.31	NIFTY	31-10-2019	11439.4	14706225	328575	11114.747	11354.57512	11815.22774	11297.27	10779.31226	0.909467816	16.85
16-10-2019	26940	26.48	3.54	1.3	NIFTY	31-10-2019	11475.55	14253450	-452775	11122.354	11394.90008	11826.98951	11320.1875	10813.38549	0.316013078	16.36
17-10-2019	26993	26.76	3.58	1.29	NIFTY	31-10-2019	11600.65	14059275	-194175	11131.723	11463.48339	11826.86325	11358.545	10890.22675	1.090143828	15.8775
18-10-2019	26754	26.94	3.6	1.28	NIFTY	31-10-2019	11670	13657275	-402000	11144.816	11532.32226	11825.26193	11399.2725	10973.28307	0.59781133	15.9275
21-10-2019	26797															
