Date	Close	Open Interest	Change in OI	SMA	EMA	upper_band	middle_band	lower_band	Percentage Change
2010-04-21	5245.15	26965200	449900	5102.16	5251.618760719193	5397.798221326301	5291.505000000001	5185.211778673701	0.35270678626922014
2010-04-22	5265.4	25981200	-984000	5113.303	5256.212507146129	5395.026770657515	5294.110000000001	5193.193229342486	0.3845861662931591
2010-04-23	5305.0	24850700	-1130500	5124.416	5272.4750047640855	5394.138383563057	5298.025000000001	5201.911616436944	0.7464655984919956
2010-04-26	5319.9	22371000	-2479700	5135.516	5288.28333650939	5395.955925673531	5300.987500000001	5206.019074326471	0.2800804526400804
2010-04-27	5309.05	17552100	-4818900	5145.829999999999	5295.205557672927	5396.604490164076	5301.592500000001	5206.580509835925	-0.20436801310967978
2010-04-28	5216.7	12836400	-4715700	5155.141	5269.037038448618	5398.001843197995	5296.487500000001	5194.973156802007	-1.770276228266919
2010-04-29	5254.1	7909150	-4927250	5163.646	5264.058025632412	5398.252268623776	5295.497500000001	5192.742731376226	0.7118250509126309
2010-04-30	5262.8	25426150	1104550	5172.987999999999	5263.638683754942	5398.234397474205	5295.557500000001	5192.880602525796	0.16531124116439572
2010-05-03	5218.45	26379700	953550	5180.052999999999	5248.575789169961	5398.974700351662	5291.140000000001	5183.30529964834	-0.8498692140386583
2010-05-04	5141.85	27869350	1489650	5184.754999999999	5213.000526113307	5400.212301496001	5279.937500000002	5159.662698504003	-1.4897361844472212
2010-05-05	5120.15	28285100	415750	5189.422	5182.0503507422045	5399.6624558714175	5267.590000000001	5135.517544128585	-0.42381570852417855
2010-05-06	5087.15	29298100	1013000	5194.245999999999	5150.416900494803	5396.607694779606	5253.000000000001	5109.392305220395	-0.6486932761959054
2010-05-07	5019.8	29604900	306800	5197.509999999998	5106.8779336632015	5412.786719545564	5238.910000000001	5065.033280454438	-1.3416869197975905
2010-05-10	5200.25	27012850	-2592050	5204.103999999999	5138.001955775468	5395.256479444337	5230.677500000001	5066.098520555664	3.4700254795442493
2010-05-11	5132.95	26779050	-233800	5209.522999999999	5136.317970516979	5381.3567606279385	5220.135	5058.913239372062	-1.3111368706104713
2010-05-12	5150.2	27492350	713300	5215.325	5140.945313677986	5366.896422969097	5211.165	5055.433577030903	0.33493844899227215
2010-05-13	5178.15	26719900	-772450	5220.280999999999	5153.346875785323	5359.495461937612	5206.2074999999995	5052.919538062387	0.539768063883816
2010-05-14	5083.65	28138150	1418250	5221.498	5130.114583856882	5357.02864454491	5197.237499999999	5037.446355455088	-1.8589005930778084
2010-05-17	5058.05	29528400	1390250	5221.036999999999	5106.093055904588	5360.545093031672	5189.7699999999995	5018.994906968327	-0.506123901503533
2010-05-18	5063.4	28657850	-870550	5220.6799999999985	5091.862037269725	5359.987642602674	5181.6075	5003.227357397326	0.10566022830508066
2010-05-19	4922.9	29169650	511800	5217.386999999999	5035.541358179817	5373.724222012576	5165.495	4957.2657779874235	-2.8540088159418233
2010-05-20	4941.05	28596000	-573650	5213.857999999998	5004.044238786544	5373.746405363225	5149.2775	4924.8085946367755	0.3673308304915058
2010-05-21	4928.4	29674000	1078000	5210.484999999999	4978.829492524363	5362.558440015686	5130.4475	4898.336559984315	-0.25667559451344346
2010-05-24	4931.05	27817700	-1856300	5206.740999999998	4962.902995016242	5341.519355084416	5111.005	4880.490644915584	0.0537410896259528
2010-05-25	4809.35	23695050	-4122650	5199.990999999998	4911.7186633441615	5332.990950518412	5086.02	4839.049049481589	-2.5304874879141632
2010-05-26	4917.05	18807700	-4887350	5195.437999999998	4913.495775562775	5320.820343435976	5071.0375	4821.254656564025	2.1903377024842094
2010-05-27	5004.0	13453250	-5354450	5192.879999999998	4943.663850375183	5295.096229838226	5058.5325	4821.968770161775	1.73760991207034
2010-05-28	5041.0	25924550	307250	5189.606999999998	4976.1092335834555	5264.667915812661	5047.4425	4830.217084187339	0.7339813529061694
2010-05-31	5056.2	26160400	235850	5185.9389999999985	5002.806155722304	5242.037317085506	5039.33	4836.622682914493	0.3006210197381397
2010-06-01	4944.05	28300050	2139650	5179.736999999998	4983.2207704815355	5230.46883773224	5029.4400000000005	4828.411162267761	-2.268383208098616
2010-06-02	5004.35	28493900	193850	5174.329999999998	4990.26384698769	5220.522390141408	5023.650000000001	4826.777609858593	1.2049516920279393
2010-06-03	5095.95	28223300	-270600	5171.982999999998	5025.49256465846	5221.56650898263	5024.090000000001	4826.613491017372	1.7975058624986402
2010-06-04	5119.95	27950900	-272400	5169.847999999999	5056.978376438973	5230.916276319198	5029.097500000001	4827.2787236808035	0.4687545776814227
2010-06-07	5020.2	29062100	1111200	5165.038999999999	5044.718917625982	5206.008517260026	5020.095	4834.181482739975	-1.9869726305724873
2010-06-08	4960.7	30830150	1768050	5158.313999999999	5016.712611750654	5191.553148010703	5011.4825	4831.411851989297	-1.1994275001511885
2010-06-09	4990.4	30769550	-60600	5151.745999999999	5007.941741167103	5172.046536661839	5003.4925	4834.9384633381615	0.5951426739339496
2010-06-10	5086.1	30884500	114950	5147.99	5033.994494111402	5152.478679921224	4998.890000000001	4845.301320078778	1.8815988675016362
2010-06-11	5116.85	30257900	-626600	5145.094999999999	5061.612996074268	5158.425017022861	5000.550000000001	4842.674982977142	0.6009556660836256
2010-06-14	5204.8	30493700	235800	5143.054999999999	5109.341997382846	5187.8639647806685	5007.887500000002	4827.911035219335	1.689786351060556
2010-06-15	5234.3	29976050	-517650	5140.422999999999	5150.994664921897	5220.72556467657	5016.432500000002	4812.139435323434	0.5635901648740042
2010-06-16	5226.45	30335400	359350	5137.61	5176.1464432812645	5250.438779185694	5031.610000000002	4812.7812208143105	-0.15019755283223535
2010-06-17	5284.8	29350600	-984800	5135.726999999999	5212.364295520843	5289.390946450441	5048.797500000002	4808.2040535495635	1.1041099000908334
2010-06-18	5261.15	27473250	-1877350	5134.917999999999	5228.626197013896	5316.228911608563	5065.435000000002	4814.641088391441	-0.44952149244937983
2010-06-21	5357.65	24199500	-3273750	5134.772999999998	5271.634131342597	5359.792042799693	5086.765000000001	4813.737957200309	1.8011628232527321
2010-06-22	5320.3	22738800	-1460700	5134.302999999999	5287.856087561731	5372.021895045566	5112.312500000002	4852.603104954437	-0.7020280811232347
2010-06-23	5333.6	19003800	-3735000	5134.382999999999	5303.104058374488	5393.681692632756	5133.140000000001	4872.598307367247	0.24936253187340973
2010-06-24	5320.55	12768600	-6235200	5135.247999999999	5308.919372249658	5414.615779262154	5148.967500000002	4883.319220737849	-0.24527539446110236
2010-06-25	5283.7	29431000	-153600	5135.660999999999	5300.512914833105	5428.0840508137835	5161.102500000002	4894.12094918622	-0.6974279387550459
